N°,Zona,Un.lect.,Contrato,Tp.tarifa,Instalacion,Fact.cálculo,Equipo,Número de serie,Fabricante,Denomin.tipo,DS,¿Telesgestionada?,Tipo de medicion,Lista,Municipio,Población,Distrito,Calle,01/01/2019,02/01/2019,03/01/2019,04/01/2019,05/01/2019,06/01/2019,07/01/2019,08/01/2019,09/01/2019,10/01/2019,11/01/2019,12/01/2019,01/01/2020,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,Prioridad,Promedio,% Variacion,Tendencia ,Grafico ,Ordenes,Observacion
612,SS,SS_14_06,102615802,G_MMH,30145496,240,1.00E+11,322019,LANDIS + GYR,RXRS4,CT5623,Medición Convencional ,Medicion Primaria ,"FERALAN, S.A. DE C.V.",SAN SALVADOR,LOMAS DE SAN FRANCISCO,LOMAS DE SAN FRANCISCO,PASAJE EL SAUCE,4656.00,5208.00,5832.00,6120.00,5184.00,5160.00,5760.00,6312.00,6024.00,6216.00,4440.00,6096.00,4824.00,5928.00,5664.00,6888.00,6576.00,6192.00,4944.00,5136.00,5256.00,5400.00,4608.00,4536.00,5088.00,4680.00,4704.00,5376.00,6984.00,5328.00,4896.00,4992.00,4896.00,5856.00,4776.00,4920.00,4536.00,4656.00,4632.00,4728.00,4152.00,5664.00,5424.00,4968.00,4536.00,4536.00,Baja,"5,289",12.97%,-,,,
330,SS,SS_15_01,102672601,G_MMP,30017945,60,1.00E+11,1105356,LANDIS + GYR,E650 S4x RXR F5S,CT900969,Medición Convencional ,Medicion Secundaria,COLEGIO PROFESIONALES CIENCIAS ECONOMICAS,ANTIGUO CUSCATLAN,LOMAS DE SAN FRANCISCO,URB LOMAS DE SAN FRANCISCO,AVENIDA ALBERT EINSTEIN,960.00,1168.00,1096.00,1136.00,960.00,1040.00,1288.00,1456.00,1624.00,1360.00,1656.00,1728.00,1376.00,1424.00,1232.00,880.00,882.00,2394.00,1596.00,1716.00,1668.00,1794.00,2124.00,2616.00,2562.00,2556.00,2376.00,2946.00,2742.00,3234.00,3312.00,3396.00,3330.00,3126.00,3306.00,2748.00,2412.00,1920.00,1482.00,1554.00,2130.00,2154.00,2100.00,2592.00,2382.00,2382.00,Baja,"1,998",36.99%,-,,,
331,SS,SS_15_02,102731701,G_MMP,30070224,60,1.00E+11,1105354,LANDIS + GYR,E650 S4x RXR F5S,DS901453,Medición Convencional ,Medicion Secundaria,CORPORACION LOYOLA,ANTIGUO CUSCATLAN,ANTIGUO CUSCATLAN,URB CUMBRES DE CUSCATLAN,CALLE TEOTL,3522.00,3306.00,3120.00,3714.00,3462.00,4344.00,3744.00,2640.00,3750.00,3372.00,3372.00,3486.00,0.00,0.00,3126.00,1536.00,3210.00,2862.00,1344.00,1446.00,1518.00,1872.00,1836.00,1674.00,2034.00,2412.00,2286.00,2172.00,1998.00,2430.00,3186.00,2970.00,2700.00,2646.00,3198.00,4320.00,2718.00,3060.00,2646.00,2946.00,3438.00,3528.00,3822.00,3600.00,3234.00,3234.00,Baja,"2,757",34.61%,-,,,
335,SS,SS_15_04,102781502,G_MMP,30114283,40,1.00E+11,63198,SANGAMO,S3 (T200A),CT901139,Medición Convencional ,Medicion Secundaria,SOC. SRAS. SAN VICENTE DE PAUL,ANTIGUO CUSCATLAN,ANTIGUO CUSCATLAN,URB LA SULTANA,BLVD LA SULTANA,6204.00,5224.00,5580.00,5400.00,5760.00,3748.00,7344.00,5960.00,5612.00,5988.00,5736.00,8548.00,2852.00,4136.00,5368.00,3536.00,4908.00,5632.00,5088.00,4080.00,4260.00,4896.00,6116.00,5920.00,5800.00,4704.00,4264.00,3188.00,4248.00,5060.00,5160.00,5080.00,4940.00,4820.00,4520.00,4960.00,4600.00,4700.00,4980.00,4640.00,5732.00,5308.00,5280.00,5280.00,6440.00,6440.00,Baja,"5,175",19.29%,-,,,
606,SS,SS_09_04,104936101,G_MMH,30041496,80,1.00E+11,322086,LANDIS + GYR,RXRS4,DS901850,Medición Convencional ,Medicion Secundaria,"CEFINCO, S.A DE C.V.",SAN SALVADOR,LOMAS DE ALTAMIRA,LOMAS DE ALTAMIRA II,CALLE CLARINERO,11280.00,9608.00,6032.00,9080.00,4736.00,11784.00,8336.00,7656.00,8584.00,11816.00,11640.00,12456.00,13560.00,11432.00,11192.00,2232.00,2232.00,2400.00,6184.00,1176.00,1368.00,5544.00,4960.00,4600.00,1432.00,1144.00,1256.00,1272.00,1320.00,3056.00,3392.00,2464.00,976.00,1064.00,4552.00,9608.00,9432.00,10416.00,9280.00,9768.00,10560.00,10184.00,4488.00,7872.00,8656.00,8656.00,Baja,"6,538",60.01%,-,,,
349,SS,SS_16_05,102930401,G_MMH,30068835,60,1.00E+11,222619,LANDIS + GYR,RXRS4,CT8998,Medición Convencional ,Medicion Secundaria,INST. HERMANAS SOMASCAS,ANTIGUO CUSCATLAN,ANTIGUO CUSCATLAN,LA CEIBA DE GUADALUPE,CALLE MEDITERRANEO,3288.00,4956.00,5418.00,5418.00,4464.00,5616.00,5784.00,5358.00,5376.00,5166.00,4800.00,4104.00,2316.00,5868.00,5202.00,4578.00,3888.00,1152.00,1062.00,1158.00,1122.00,2034.00,1458.00,1500.00,2016.00,2364.00,2430.00,2694.00,2988.00,3414.00,3564.00,3126.00,3486.00,3510.00,2544.00,2208.00,3348.00,3732.00,3498.00,3936.00,4614.00,4260.00,3924.00,4362.00,4470.00,4470.00,Baja,"3,610",38.87%,-,,,
733,SS,SS_13_10,103066701,G_MMP,30009950,80,1.00E+11,183164,SIEMENS,RXRS4 (114E),DS901149,Medición Convencional ,Medicion Secundaria,HOSPITAL MAT. LA DIVINA PROVIDENCIA,SANTIAGO TEXACUANGOS,SANTIAGO TEXACUANGOS,BARRIO CONCEPCION,CALLE AL HOSPITAL,2296.00,2528.00,3008.00,3752.00,2680.00,2920.00,3224.00,2968.00,3480.00,3024.00,6136.00,2896.00,2616.00,2624.00,2704.00,3544.00,3112.00,2856.00,3280.00,2936.00,3032.00,2176.00,2440.00,2040.00,2008.00,2360.00,2376.00,2528.00,3632.00,2856.00,2104.00,2232.00,1864.00,2024.00,2248.00,1904.00,2024.00,2248.00,2384.00,3976.00,2056.00,2136.00,2040.00,1968.00,2096.00,2096.00,Baja,"2,683",28.00%,-,,,
508,SS,SS_10_09,104270802,G_GMH,30176066,60,1.00E+11,1105319,LANDIS + GYR,E650 S4x RXR F5S,CT10824,Medición Convencional ,Medicion Secundaria,MINISTERIO DE EDUCACION SAN SALVADOR,SAN MARCOS,SAN MARCOS,COLONIA EL MILAGRO,CALLE PRINCIPAL,954.00,2028.00,1206.00,1824.00,1260.00,1728.00,1806.00,1614.00,1482.00,1122.00,768.00,720.00,324.00,648.00,912.00,756.00,696.00,888.00,852.00,840.00,912.00,912.00,0.00,0.00,0.00,0.00,0.00,318.00,312.00,66.00,54.00,66.00,90.00,90.00,108.00,186.00,438.00,660.00,552.00,516.00,444.00,480.00,264.00,360.00,396.00,396.00,Baja,653,84.76%,-,,,
488,SS,SS_02_02,105141301,G_GMH,30040217,80,1.00E+11,213885,LANDIS + GYR,RXRS4,CT5285,Medición Convencional ,Medicion Secundaria,INSTITUTO SALVADOREÑO DEL SEGURO SOCIAL,PANCHIMALCO,PLANES DE RENDEROS,QUINTA SOSABEL,CARRETERA PLANES DE RENDEROS,10680.00,11440.00,11824.00,11864.00,11416.00,11488.00,12000.00,12824.00,12208.00,12776.00,12048.00,12040.00,11016.00,10872.00,11624.00,12272.00,12680.00,11744.00,11704.00,19216.00,16008.00,11408.00,7360.00,6960.00,4880.00,4216.00,3952.00,3920.00,3656.00,3584.00,3504.00,3688.00,3464.00,1664.00,1328.00,1344.00,1344.00,1208.00,1280.00,1272.00,1256.00,1448.00,1360.00,1312.00,1496.00,1496.00,Baja,"7,351",69.72%,-,,,
582,SS,SS_02_07,104796201,G_MBP,30100143,80,1.00E+11,1104038,LANDIS + GYR,E650 S4x RXR F5S,DS101315,Medición Convencional ,Medicion Secundaria,DE MERCADOS DE S.S. ADMINISTRACION MUNICIPAL,SAN SALVADOR,BARRIO CANDELARIA,BARRIO CANDELARIA,CALLE MODELO,12684.00,12648.00,13356.00,13152.00,14016.00,13284.00,13512.00,13716.00,13476.00,13560.00,13752.00,13872.00,13824.00,13572.00,13860.00,12636.00,11304.00,9072.00,12280.00,12064.00,12032.00,12168.00,12584.00,12344.00,12616.00,12624.00,12408.00,13016.00,13280.00,13248.00,13080.00,13824.00,12984.00,13192.00,12912.00,13888.00,13240.00,13456.00,14584.00,14776.00,14224.00,13904.00,14280.00,13472.00,13616.00,13616.00,Media,"13,152",7.15%,-,,,
1353,ST,ST_78_07,900054900,G_GMH,30279678,120,1.00E+11,183065,LANDIS + GYR,RXRS4,CT8777,Medición Convencional ,Medicion Secundaria,NATIONAL ENGLISH CENTER EL SALVADOR,SANTA TECLA,SANTA TECLA,COMUNIDAD LA CRUZ,AVENIDA BADEN POWELL,4512.00,7416.00,10164.00,7788.00,9984.00,10380.00,11724.00,9072.00,9936.00,7956.00,7428.00,7056.00,3540.00,6864.00,7536.00,1392.00,1140.00,1116.00,1080.00,840.00,972.00,1128.00,1152.00,1596.00,1308.00,1608.00,1572.00,1380.00,1848.00,2772.00,2664.00,2736.00,2508.00,2184.00,2124.00,2208.00,2040.00,2820.00,3000.00,3816.00,4068.00,2064.00,5424.00,3684.00,3288.00,3288.00,Baja,"4,134",76.65%,-,,,
810,ST,ST_01_09,503864801,G_MMH,30217157,60,1.00E+11,213872,LANDIS + GYR,RXRS4,CT5957,Medición Convencional ,Medicion Secundaria,INMOBILIARIA SANTA ELENA S.A. DE C.V.,ANTIGUO CUSCATLAN,SANTA ELENA,URB ARCOS DE SANTA ELENA,BLVD ORDEN DE MALTA,9522.00,9114.00,8616.00,9006.00,8898.00,9402.00,10338.00,10704.00,4404.00,1890.00,1434.00,1296.00,1158.00,1404.00,1338.00,1020.00,810.00,960.00,972.00,1176.00,1260.00,1002.00,1140.00,1044.00,1836.00,1662.00,1602.00,1116.00,1242.00,1224.00,1128.00,1044.00,942.00,978.00,882.00,810.00,750.00,846.00,966.00,870.00,930.00,846.00,1110.00,924.00,840.00,840.00,Baja,"2,637",115.61%,-,,,
1482,ST,ST_78_13,510986901,G_GMH,30313607,160,1.00E+11,222620,SIEMENS,RXRS4 (114E),DS112886,Medición Convencional ,Medicion Secundaria,"CALLEJA, S.A. DE C.V.",ZARAGOZA,ZARAGOZA,PLAZA ZARAGOZA,1° AVENIDA NORTE,53568.00,52944.00,60480.00,60320.00,56816.00,60192.00,59488.00,57920.00,61680.00,60016.00,56736.00,61936.00,59200.00,46144.00,55184.00,61936.00,55296.00,55648.00,56080.00,51888.00,50704.00,51264.00,47232.00,51136.00,51312.00,47664.00,47792.00,46864.00,52800.00,57360.00,53456.00,51328.00,54832.00,52816.00,54096.00,56784.00,54464.00,54560.00,56592.00,55936.00,51888.00,52720.00,52432.00,46528.00,53248.00,53248.00,Alta,"54,403",7.82%,-,,,
512,SS,SS_16_11,104938301,G_MMH,30043530,80,1.00E+11,222674,LANDIS + GYR,RXRS4,CT902745,Medición Convencional ,Medicion Secundaria,"MEROPIS, S.A. DE C.V.",SAN MARCOS,SAN MARCOS,URB 10 DE OCTUBRE,AUTOPISTA COMALAPA,5176.00,6032.00,6600.00,6440.00,5648.00,5968.00,6216.00,5256.00,5936.00,5352.00,5672.00,5528.00,4448.00,4648.00,5008.00,4120.00,4552.00,3944.00,3888.00,3600.00,3752.00,2840.00,4408.00,4024.00,3424.00,3872.00,4152.00,4032.00,4304.00,1368.00,1328.00,7440.00,10024.00,10424.00,9584.00,8808.00,8832.00,9304.00,8208.00,8288.00,7768.00,8760.00,8664.00,8168.00,8144.00,8144.00,Baja,"5,915",38.43%,-,,,
1135,ST,ST_78_03,509772701,G_GMH,30313819,120,1.00E+11,478487,SIEMENS,LIBRA (114E),CT9720,Medición Tele gestionada,Medicion Secundaria,"CALLEJA, S.A. DE C.V.",NUEVO CUSCATLAN,NUEVO CUSCATLAN,QUINTA RES. LAS PILETAS,CARRETERA AL PUERTO,72012.00,70524.00,74748.00,69264.00,77748.00,76116.00,79224.00,78096.00,78552.00,71904.00,89448.00,47688.00,73464.00,69408.00,79956.00,81696.00,60084.00,79548.00,67728.00,67512.00,69720.00,71040.00,62472.00,66444.00,66972.00,61212.00,67944.00,69612.00,74628.00,71856.00,69996.00,71256.00,66636.00,63660.00,57468.00,67896.00,63924.00,66708.00,65856.00,72804.00,67008.00,70104.00,70344.00,65364.00,64356.00,64356.00,Alta,"69,877",10.10%,-,,,
596,SS,SS_07_05,104958001,G_GMH,30059996,80,1.00E+11,222556,LANDIS + GYR,RXRS4,DS112623,Medición Convencional ,Medicion Secundaria,"GOLDTREE, S.A. DE C.V.",SAN SALVADOR,BARRIO SAN JACINTO,BARRIO SAN JACINTO,10° AVENIDA SUR,2888.00,2360.00,2320.00,1056.00,2296.00,2528.00,2200.00,1496.00,1152.00,1104.00,1072.00,1104.00,1072.00,992.00,1096.00,704.00,760.00,888.00,888.00,992.00,1080.00,1136.00,1088.00,1288.00,1192.00,1152.00,1200.00,1128.00,1120.00,1192.00,1184.00,1144.00,1152.00,1312.00,1336.00,1296.00,1200.00,1232.00,1208.00,1264.00,1288.00,1240.00,1280.00,1168.00,1152.00,1152.00,Baja,"1,308",30.90%,-,,,
858,ST,ST_78_04,207037001,G_GMH,30099560,80,1.00E+11,106299,SIEMENS,RXRS4 (114E),CT900574,Medición Convencional ,Medicion Secundaria,"CORPORACION GM,S.A. DE  C.V.",ANTIGUO CUSCATLAN,SANTA ELENA,ZONA INDUST CALLE AL PUERTO,CALLE AL PUERTO,10552.00,12168.00,12488.00,11928.00,13192.00,15568.00,15192.00,15128.00,15360.00,12120.00,11544.00,11408.00,9928.00,10528.00,12488.00,2976.00,1488.00,1536.00,1528.00,1376.00,4616.00,6360.00,6128.00,5448.00,5168.00,5456.00,7288.00,6280.00,7888.00,8552.00,7672.00,9224.00,7496.00,7320.00,5912.00,5880.00,6128.00,6232.00,6640.00,6312.00,6400.00,5656.00,6368.00,5408.00,6160.00,6160.00,Baja,"7,971",47.66%,-,,,
1137,ST,ST_78_03,900345100,G_GMH,30217567,60,1.00E+11,222563,LANDIS + GYR,ALTIMUS RXR,CT8649,Medición Convencional ,Medicion Secundaria,"VISOR, S.A DE C.V.",NUEVO CUSCATLAN,NUEVO CUSCATLAN,RES VIA DEL MAR,AVENIDA LOS PINGUINOS,20220.00,19926.00,19386.00,18762.00,20184.00,20886.00,18972.00,17922.00,18300.00,17784.00,17028.00,17532.00,17046.00,16074.00,17370.00,15888.00,11310.00,10290.00,12654.00,11970.00,12300.00,12864.00,11550.00,12978.00,13854.00,12000.00,13662.00,15480.00,15978.00,15978.00,6840.00,9834.00,16830.00,16740.00,16554.00,17388.00,17022.00,16950.00,13764.00,14730.00,14484.00,7626.00,14526.00,13440.00,14406.00,14406.00,Media,"15,254",20.76%,-,,,
587,SS,SS_03_01,105126501,G_MMH,30027759,60,1.00E+11,183098,LANDIS + GYR,RXRS4,DS101194,Medición Convencional ,Medicion Secundaria,"ALMACENES SIMAN, S.A. DE C.V.",SAN SALVADOR,COLONIA DOLORES,FINCA SIMAN,CALLE A HUIZUCAR,9876.00,6882.00,6432.00,6786.00,7068.00,7764.00,7242.00,7356.00,7740.00,7170.00,8850.00,10026.00,9390.00,7146.00,7284.00,5412.00,5160.00,2274.00,5082.00,8604.00,8976.00,8784.00,8610.00,9684.00,8034.00,7278.00,6972.00,6984.00,7272.00,7620.00,7176.00,7410.00,7650.00,7776.00,9552.00,9492.00,7680.00,7584.00,7824.00,7842.00,8310.00,8976.00,9972.00,10800.00,9870.00,9870.00,Baja,"7,860",19.41%,-,,,
586,SS,SS_03_01,105126601,G_MMH,30027784,80,1.00E+11,183006,LANDIS + GYR,RXRS4,CT901832,Medición Convencional ,Medicion Secundaria,ROCELI CONSULTORES S.A. DE C.V.,SAN SALVADOR,COLONIA DOLORES,FINCA NAVARRA,AUTOPISTA COMALAPA,15280.00,15304.00,15528.00,16504.00,17776.00,17720.00,18176.00,18328.00,17696.00,16800.00,16704.00,16712.00,16440.00,9456.00,9120.00,7872.00,6744.00,4728.00,8552.00,14400.00,14472.00,14184.00,14568.00,14368.00,16480.00,15576.00,15360.00,16856.00,15968.00,16976.00,16552.00,17576.00,16928.00,17448.00,16224.00,18024.00,16088.00,16080.00,18152.00,19128.00,18336.00,18232.00,17400.00,19936.00,17800.00,17800.00,Media,"15,573",21.67%,-,,,
634,SS,SS_78_04,500669901,G_GMH,30199303,160,1.00E+11,182925,LANDIS + GYR,RXRS4,CT902762,Medición Convencional ,Medicion Secundaria,"ESTADIOS DEPORTIVOS DE EL SALVADOR, S.A.C.",SAN SALVADOR,LOMAS DE SAN FRANCISCO,COLONIA  LOS HEROES,CALLE ANTIGUA A HUIZUCAR,7120.00,10240.00,11040.00,11248.00,11072.00,9504.00,8960.00,9072.00,12224.00,9120.00,10320.00,12992.00,7936.00,11824.00,11840.00,4704.00,4432.00,4704.00,4704.00,1680.00,1104.00,1296.00,3856.00,2000.00,3200.00,4064.00,3536.00,3456.00,3680.00,4784.00,3936.00,3440.00,9360.00,7920.00,6944.00,5520.00,6000.00,6752.00,6080.00,6656.00,10368.00,8080.00,7072.00,9344.00,8960.00,8960.00,Baja,"6,981",46.64%,-,,,
